machine_id,timestamp,temperature,vibration,pressure,rul_hours
M001,2026-03-06T04:45:56.860366,73.19,0.0227,96.16,283.58
M001,2026-03-06T04:50:56.860366,69.51,0.0255,101.51,283.5
M001,2026-03-06T04:55:56.860366,67.18,0.0218,103.3,283.42
M001,2026-03-06T05:00:56.860366,70.73,0.0262,97.71,283.33
M001,2026-03-06T05:05:56.860366,72.27,0.024,100.38,283.25
M001,2026-03-06T05:10:56.860366,66.11,0.0297,96.17,283.17
M001,2026-03-06T05:15:56.860366,68.78,0.0219,96.34,283.08
M001,2026-03-06T05:20:56.860366,68.4,0.0337,98.14,283.0
M001,2026-03-06T05:25:56.860366,68.72,0.0228,101.44,282.92
M001,2026-03-06T05:30:56.860366,74.48,0.0357,96.71,282.83
M001,2026-03-06T05:35:56.860366,69.79,0.0229,95.67,282.75
M001,2026-03-06T05:40:56.860366,74.1,0.0357,99.77,282.67
M001,2026-03-06T05:45:56.860366,70.49,0.0287,98.75,282.58
M001,2026-03-06T05:50:56.860366,72.11,0.0352,101.01,282.5
M001,2026-03-06T05:55:56.860366,67.06,0.0246,95.04,282.42
M001,2026-03-06T06:00:56.860366,71.65,0.0207,96.77,282.33
M001,2026-03-06T06:05:56.860366,71.3,0.0209,101.74,282.25
M001,2026-03-06T06:10:56.860366,71.26,0.0237,100.21,282.17
M001,2026-03-06T06:15:56.860366,66.65,0.023,99.34,282.08
M001,2026-03-06T06:20:56.860366,66.65,0.0286,97.33,282.0
M001,2026-03-06T06:25:56.860366,70.43,0.0381,102.43,281.92
M001,2026-03-06T06:30:56.860366,71.59,0.0311,101.07,281.83
M001,2026-03-06T06:35:56.860366,68.35,0.0221,102.39,281.75
M001,2026-03-06T06:40:56.860366,71.79,0.0348,96.69,281.67
M001,2026-03-06T06:45:56.860366,74.63,0.026,100.75,281.58
M001,2026-03-06T06:50:56.860366,70.11,0.0361,98.75,281.5
M001,2026-03-06T06:55:56.860366,69.89,0.03,95.42,281.42
M001,2026-03-06T07:00:56.860366,72.04,0.0379,104.28,281.33
M001,2026-03-06T07:05:56.860366,74.06,0.0242,102.79,281.25
M001,2026-03-06T07:10:56.860366,68.66,0.0369,95.58,281.17
M001,2026-03-06T07:15:56.860366,73.13,0.0257,100.84,281.08
M001,2026-03-06T07:20:56.860366,70.3,0.0258,99.98,281.0
M001,2026-03-06T07:25:56.860366,67.87,0.0373,98.53,280.92
M001,2026-03-06T07:30:56.860366,73.25,0.0307,97.69,280.83
M001,2026-03-06T07:35:56.860366,65.72,0.0284,102.66,280.75
M001,2026-03-06T07:40:56.860366,65.41,0.0367,99.68,280.67
M001,2026-03-06T07:45:56.860366,66.55,0.0267,99.55,280.58
M001,2026-03-06T07:50:56.860366,65.04,0.0202,103.1,280.5
M001,2026-03-06T07:55:56.860366,66.1,0.0251,97.41,280.42
M001,2026-03-06T08:00:56.860366,72.91,0.0309,98.29,280.33
M001,2026-03-06T08:05:56.860366,70.56,0.0239,104.93,280.25
M001,2026-03-06T08:10:56.860366,66.76,0.0286,103.15,280.17
M001,2026-03-06T08:15:56.860366,73.5,0.021,102.37,280.08
M001,2026-03-06T08:20:56.860366,74.93,0.0228,97.86,280.0
M001,2026-03-06T08:25:56.860366,70.17,0.0343,97.35,279.92
M001,2026-03-06T08:30:56.860366,72.71,0.0226,102.9,279.83
M001,2026-03-06T08:35:56.860366,71.23,0.0388,99.1,279.75
M001,2026-03-06T08:40:56.860366,73.08,0.0264,104.13,279.67
M001,2026-03-06T08:45:56.860366,72.48,0.0338,95.97,279.58
M001,2026-03-06T08:50:56.860366,68.34,0.0327,100.58,279.5
M001,2026-03-06T08:55:56.860366,68.57,0.0375,102.85,279.42
M001,2026-03-06T09:00:56.860366,68.19,0.0332,98.09,279.33
M001,2026-03-06T09:05:56.860366,69.84,0.0272,99.15,279.25
M001,2026-03-06T09:10:56.860366,66.62,0.0208,96.3,279.17
M001,2026-03-06T09:15:56.860366,68.66,0.0259,104.97,279.08
M001,2026-03-06T09:20:56.860366,71.4,0.0289,99.15,279.0
M001,2026-03-06T09:25:56.860366,71.49,0.029,99.05,278.92
M001,2026-03-06T09:30:56.860366,68.35,0.0251,98.72,278.83
M001,2026-03-06T09:35:56.860366,71.99,0.0378,101.06,278.75
M001,2026-03-06T09:40:56.860366,73.16,0.0255,95.9,278.67
M001,2026-03-06T09:45:56.860366,70.09,0.034,99.18,278.58
M001,2026-03-06T09:50:56.860366,73.86,0.0351,95.94,278.5
M001,2026-03-06T09:55:56.860366,70.57,0.0271,101.54,278.42
M001,2026-03-06T10:00:56.860366,71.12,0.0317,96.11,278.33
M001,2026-03-06T10:05:56.860366,68.82,0.0212,104.05,278.25
M001,2026-03-06T10:10:56.860366,69.67,0.0215,104.26,278.17
M001,2026-03-06T10:15:56.860366,72.7,0.02,101.26,278.08
M001,2026-03-06T10:20:56.860366,66.34,0.0276,96.16,278.0
M001,2026-03-06T10:25:56.860366,70.04,0.0327,99.32,277.92
M001,2026-03-06T10:30:56.860366,72.18,0.0222,97.36,277.83
M001,2026-03-06T10:35:56.860366,65.5,0.0379,103.67,277.75
M001,2026-03-06T10:40:56.860366,66.03,0.0312,96.74,277.67
M001,2026-03-06T10:45:56.860366,68.9,0.0267,102.68,277.58
M001,2026-03-06T10:50:56.860366,73.66,0.0247,99.97,277.5
M001,2026-03-06T10:55:56.860366,66.16,0.0258,102.83,277.42
M001,2026-03-06T11:00:56.860366,74.92,0.0226,96.09,277.33
M001,2026-03-06T11:05:56.860366,68.25,0.0264,98.88,277.25
M001,2026-03-06T11:10:56.860366,72.11,0.0294,96.91,277.17
M001,2026-03-06T11:15:56.860366,74.44,0.0203,98.13,277.08
M001,2026-03-06T11:20:56.860366,73.3,0.0295,104.08,277.0
M001,2026-03-06T11:25:56.860366,69.37,0.0242,95.22,276.92
M001,2026-03-06T11:30:56.860366,74.51,0.0395,104.59,276.83
M001,2026-03-06T11:35:56.860366,72.76,0.0204,97.8,276.75
M001,2026-03-06T11:40:56.860366,74.49,0.0279,101.19,276.67
M001,2026-03-06T11:45:56.860366,73.97,0.0316,97.16,276.58
M001,2026-03-06T11:50:56.860366,71.61,0.031,96.44,276.5
M001,2026-03-06T11:55:56.860366,67.37,0.0277,96.23,276.42
M001,2026-03-06T12:00:56.860366,67.56,0.0338,95.39,276.33
M001,2026-03-06T12:05:56.860366,67.83,0.0398,100.33,276.25
M001,2026-03-06T12:10:56.860366,71.8,0.0354,104.98,276.17
M001,2026-03-06T12:15:56.860366,67.25,0.0323,97.16,276.08
M001,2026-03-06T12:20:56.860366,65.47,0.0335,97.97,276.0
M001,2026-03-06T12:25:56.860366,74.66,0.024,101.17,275.92
M001,2026-03-06T12:30:56.860366,68.61,0.0209,98.72,275.83
M001,2026-03-06T12:35:56.860366,66.63,0.0263,98.96,275.75
M001,2026-03-06T12:40:56.860366,70.86,0.0319,97.34,275.67
M001,2026-03-06T12:45:56.860366,71.22,0.0354,98.04,275.58
M001,2026-03-06T12:50:56.860366,68.44,0.0328,99.48,275.5
M001,2026-03-06T12:55:56.860366,71.55,0.0366,96.18,275.42
M001,2026-03-06T13:00:56.860366,71.04,0.0315,95.06,275.33
M001,2026-03-06T13:05:56.860366,66.6,0.0383,100.45,275.25
M001,2026-03-06T13:10:56.860366,66.78,0.029,103.93,275.17
M001,2026-03-06T13:15:56.860366,68.14,0.0385,95.12,275.08
M001,2026-03-06T13:20:56.860366,67.61,0.0234,97.78,275.0
M001,2026-03-06T13:25:56.860366,71.6,0.0349,103.58,274.92
M001,2026-03-06T13:30:56.860366,65.11,0.0376,97.99,274.83
M001,2026-03-06T13:35:56.860366,65.51,0.0397,101.92,274.75
M001,2026-03-06T13:40:56.860366,68.75,0.0354,95.04,274.67
M001,2026-03-06T13:45:56.860366,69.82,0.031,97.65,274.58
M001,2026-03-06T13:50:56.860366,68.1,0.0213,98.57,274.5
M001,2026-03-06T13:55:56.860366,67.43,0.0313,97.65,274.42
M001,2026-03-06T14:00:56.860366,71.24,0.03,95.59,274.33
M001,2026-03-06T14:05:56.860366,74.03,0.0344,100.34,274.25
M001,2026-03-06T14:10:56.860366,66.83,0.0367,98.52,274.17
M001,2026-03-06T14:15:56.860366,74.08,0.0353,95.05,274.08
M001,2026-03-06T14:20:56.860366,65.37,0.0292,104.51,274.0
M001,2026-03-06T14:25:56.860366,68.9,0.0381,98.0,273.92
M001,2026-03-06T14:30:56.860366,70.9,0.0234,98.6,273.83
M001,2026-03-06T14:35:56.860366,74.59,0.0279,102.84,273.75
M001,2026-03-06T14:40:56.860366,71.51,0.0351,100.25,273.67
M001,2026-03-06T14:45:56.860366,65.51,0.0307,99.96,273.58
M001,2026-03-06T14:50:56.860366,66.9,0.0241,96.14,273.5
M001,2026-03-06T14:55:56.860366,73.46,0.0331,102.25,273.42
M001,2026-03-06T15:00:56.860366,68.32,0.0267,98.57,273.33
M001,2026-03-06T15:05:56.860366,69.42,0.0345,101.67,273.25
M001,2026-03-06T15:10:56.860366,72.55,0.0311,96.82,273.17
M001,2026-03-06T15:15:56.860366,74.81,0.0255,102.7,273.08
M001,2026-03-06T15:20:56.860366,69.78,0.0253,95.88,273.0
M001,2026-03-06T15:25:56.860366,71.17,0.0348,102.15,272.92
M001,2026-03-06T15:30:56.860366,67.48,0.0368,96.76,272.83
M001,2026-03-06T15:35:56.860366,68.33,0.0378,102.29,272.75
M001,2026-03-06T15:40:56.860366,66.77,0.0218,99.48,272.67
M001,2026-03-06T15:45:56.860366,74.07,0.0339,101.78,272.58
M001,2026-03-06T15:50:56.860366,72.04,0.0308,95.05,272.5
M001,2026-03-06T15:55:56.860366,70.18,0.0392,100.46,272.42
M001,2026-03-06T16:00:56.860366,69.64,0.0375,99.39,272.33
M001,2026-03-06T16:05:56.860366,72.78,0.0376,99.8,272.25
M001,2026-03-06T16:10:56.860366,68.92,0.0307,95.23,272.17
M001,2026-03-06T16:15:56.860366,71.82,0.0264,98.7,272.08
M001,2026-03-06T16:20:56.860366,68.86,0.0243,97.66,272.0
M001,2026-03-06T16:25:56.860366,71.45,0.0306,102.42,271.92
M001,2026-03-06T16:30:56.860366,65.79,0.037,102.36,271.83
M001,2026-03-06T16:35:56.860366,71.9,0.0321,99.48,271.75
M001,2026-03-06T16:40:56.860366,70.46,0.022,97.15,271.67
M001,2026-03-06T16:45:56.860366,69.24,0.0288,104.94,271.58
M001,2026-03-06T16:50:56.860366,67.79,0.0338,97.36,271.5
M001,2026-03-06T16:55:56.860366,72.38,0.0287,100.88,271.42
M001,2026-03-06T17:00:56.860366,66.13,0.0211,98.96,271.33
M001,2026-03-06T17:05:56.860366,70.08,0.0301,103.67,271.25
M001,2026-03-06T17:10:56.860366,73.9,0.0381,95.12,271.17
M001,2026-03-06T17:15:56.860366,69.28,0.0355,99.03,271.08
M001,2026-03-06T17:20:56.860366,73.38,0.037,97.79,271.0
M001,2026-03-06T17:25:56.860366,68.7,0.0368,99.32,270.92
M001,2026-03-06T17:30:56.860366,65.83,0.0295,101.54,270.83
M001,2026-03-06T17:35:56.860366,71.07,0.028,104.97,270.75
M001,2026-03-06T17:40:56.860366,72.86,0.0333,104.18,270.67
M001,2026-03-06T17:45:56.860366,66.55,0.0284,104.3,270.58
M001,2026-03-06T17:50:56.860366,74.92,0.0286,102.16,270.5
M001,2026-03-06T17:55:56.860366,69.71,0.0316,103.61,270.42
M001,2026-03-06T18:00:56.860366,72.63,0.0218,95.02,270.33
M001,2026-03-06T18:05:56.860366,71.42,0.0396,97.14,270.25
M001,2026-03-06T18:10:56.860366,68.9,0.0231,103.25,270.17
M001,2026-03-06T18:15:56.860366,70.58,0.0287,96.59,270.08
M001,2026-03-06T18:20:56.860366,67.15,0.0378,97.18,270.0
M001,2026-03-06T18:25:56.860366,66.48,0.0333,96.18,269.92
M001,2026-03-06T18:30:56.860366,73.77,0.0361,100.91,269.83
M001,2026-03-06T18:35:56.860366,67.68,0.0383,104.93,269.75
M001,2026-03-06T18:40:56.860366,67.08,0.0356,96.5,269.67
M001,2026-03-06T18:45:56.860366,68.27,0.0312,98.34,269.58
M001,2026-03-06T18:50:56.860366,66.25,0.0392,96.31,269.5
M001,2026-03-06T18:55:56.860366,74.24,0.026,97.8,269.42
M001,2026-03-06T19:00:56.860366,68.77,0.0315,99.35,269.33
M001,2026-03-06T19:05:56.860366,66.31,0.035,96.8,269.25
M001,2026-03-06T19:10:56.860366,65.46,0.0387,103.3,269.17
M001,2026-03-06T19:15:56.860366,65.06,0.0352,95.45,269.08
M001,2026-03-06T19:20:56.860366,71.01,0.0325,102.56,269.0
M001,2026-03-06T19:25:56.860366,70.93,0.0326,99.82,268.92
M001,2026-03-06T19:30:56.860366,73.09,0.0242,96.78,268.83
M001,2026-03-06T19:35:56.860366,71.92,0.0376,103.74,268.75
M001,2026-03-06T19:40:56.860366,69.7,0.0272,102.21,268.67
M001,2026-03-06T19:45:56.860366,66.46,0.0299,95.03,268.58
M001,2026-03-06T19:50:56.860366,72.96,0.0311,99.78,268.5
M001,2026-03-06T19:55:56.860366,72.57,0.0249,101.28,268.42
M001,2026-03-06T20:00:56.860366,69.81,0.0343,101.11,268.33
M001,2026-03-06T20:05:56.860366,65.52,0.0397,97.1,268.25
M001,2026-03-06T20:10:56.860366,70.6,0.0349,101.4,268.17
M001,2026-03-06T20:15:56.860366,71.24,0.036,99.26,268.08
M001,2026-03-06T20:20:56.860366,70.79,0.0394,98.84,268.0
M001,2026-03-06T20:25:56.860366,73.2,0.0268,100.14,267.92
M001,2026-03-06T20:30:56.860366,73.99,0.0318,102.78,267.83
M001,2026-03-06T20:35:56.860366,74.91,0.0265,101.07,267.75
M001,2026-03-06T20:40:56.860366,67.08,0.0305,95.01,267.67
M001,2026-03-06T20:45:56.860366,70.99,0.0286,104.57,267.58
M001,2026-03-06T20:50:56.860366,73.13,0.0315,95.39,267.5
M001,2026-03-06T20:55:56.860366,74.12,0.0339,103.37,267.42
M001,2026-03-06T21:00:56.860366,67.11,0.0325,95.29,267.33
M001,2026-03-06T21:05:56.860366,70.53,0.0208,100.21,267.25
M001,2026-03-06T21:10:56.860366,70.57,0.0374,96.16,267.17
M001,2026-03-06T21:15:56.860366,67.51,0.0335,97.65,267.08
M001,2026-03-06T21:20:56.860366,69.73,0.0226,99.28,267.0
M001,2026-03-06T21:25:56.860366,73.99,0.0258,102.12,266.92
M001,2026-03-06T21:30:56.860366,72.84,0.0396,101.63,266.83
M001,2026-03-06T21:35:56.860366,70.92,0.0328,102.56,266.75
M001,2026-03-06T21:40:56.860366,71.26,0.0232,103.81,266.67
M001,2026-03-06T21:45:56.860366,70.64,0.022,96.07,266.58
M001,2026-03-06T21:50:56.860366,69.78,0.0377,103.96,266.5
M001,2026-03-06T21:55:56.860366,65.29,0.0343,97.89,266.42
M001,2026-03-06T22:00:56.860366,72.08,0.0332,102.9,266.33
M001,2026-03-06T22:05:56.860366,71.52,0.0301,95.33,266.25
M001,2026-03-06T22:10:56.860366,72.74,0.0299,102.51,266.17
M001,2026-03-06T22:15:56.860366,72.43,0.0379,98.16,266.08
M001,2026-03-06T22:20:56.860366,73.14,0.0279,96.9,266.0
M001,2026-03-06T22:25:56.860366,68.89,0.0205,95.98,265.92
M001,2026-03-06T22:30:56.860366,71.23,0.0392,104.66,265.83
M001,2026-03-06T22:35:56.860366,72.3,0.0231,98.77,265.75
M001,2026-03-06T22:40:56.860366,73.39,0.0317,97.11,265.67
M001,2026-03-06T22:45:56.860366,72.05,0.025,101.9,265.58
M001,2026-03-06T22:50:56.860366,67.24,0.0363,98.8,265.5
M001,2026-03-06T22:55:56.860366,71.33,0.0325,101.23,265.42
M001,2026-03-06T23:00:56.860366,73.56,0.0344,104.86,265.33
M001,2026-03-06T23:05:56.860366,66.66,0.0239,95.93,265.25
M001,2026-03-06T23:10:56.860366,66.19,0.0262,97.3,265.17
M001,2026-03-06T23:15:56.860366,65.01,0.032,95.72,265.08
M001,2026-03-06T23:20:56.860366,65.61,0.0257,99.89,265.0
M001,2026-03-06T23:25:56.860366,66.0,0.0305,100.49,264.92
M001,2026-03-06T23:30:56.860366,67.86,0.0292,97.54,264.83
M001,2026-03-06T23:35:56.860366,71.42,0.0397,100.27,264.75
M001,2026-03-06T23:40:56.860366,73.72,0.0281,96.34,264.67
M001,2026-03-06T23:45:56.860366,70.59,0.0212,103.75,264.58
M001,2026-03-06T23:50:56.860366,73.77,0.0282,102.73,264.5
M001,2026-03-06T23:55:56.860366,70.92,0.031,98.71,264.42
M001,2026-03-07T00:00:56.860366,74.98,0.0281,100.77,264.33
M001,2026-03-07T00:05:56.860366,65.95,0.0237,103.55,264.25
M001,2026-03-07T00:10:56.860366,68.61,0.0358,97.98,264.17
M001,2026-03-07T00:15:56.860366,69.01,0.0292,100.32,264.08
M001,2026-03-07T00:20:56.860366,74.37,0.0327,101.89,264.0
M001,2026-03-07T00:25:56.860366,67.15,0.0324,100.52,263.92
M001,2026-03-07T00:30:56.860366,73.87,0.0231,103.62,263.83
M001,2026-03-07T00:35:56.860366,70.08,0.0318,102.41,263.75
M001,2026-03-07T00:40:56.860366,68.46,0.0263,97.37,263.67
M001,2026-03-07T00:45:56.860366,69.08,0.0261,101.86,263.58
M001,2026-03-07T00:50:56.860366,68.0,0.0284,103.13,263.5
M001,2026-03-07T00:55:56.860366,66.67,0.0358,97.85,263.42
M001,2026-03-07T01:00:56.860366,70.33,0.0292,99.35,263.33
M001,2026-03-07T01:05:56.860366,65.7,0.0244,104.11,263.25
M001,2026-03-07T01:10:56.860366,65.98,0.0317,96.99,263.17
M001,2026-03-07T01:15:56.860366,67.27,0.0309,102.16,263.08
M001,2026-03-07T01:20:56.860366,71.32,0.0321,99.33,263.0
M001,2026-03-07T01:25:56.860366,72.08,0.02,96.69,262.92
M001,2026-03-07T01:30:56.860366,72.37,0.0269,101.15,262.83
M001,2026-03-07T01:35:56.860366,68.62,0.0257,100.63,262.75
M001,2026-03-07T01:40:56.860366,70.62,0.0258,97.49,262.67
M001,2026-03-07T01:45:56.860366,70.41,0.0308,101.21,262.58
M001,2026-03-07T01:50:56.860366,67.43,0.0346,95.65,262.5
M001,2026-03-07T01:55:56.860366,73.32,0.0253,95.99,262.42
M001,2026-03-07T02:00:56.860366,65.23,0.0278,102.14,262.33
M001,2026-03-07T02:05:56.860366,71.53,0.022,103.99,262.25
M001,2026-03-07T02:10:56.860366,69.63,0.0201,95.65,262.17
M001,2026-03-07T02:15:56.860366,71.81,0.032,104.95,262.08
M001,2026-03-07T02:20:56.860366,69.22,0.0262,98.57,262.0
M001,2026-03-07T02:25:56.860366,65.92,0.0202,96.09,261.92
M001,2026-03-07T02:30:56.860366,70.12,0.0212,101.85,261.83
M001,2026-03-07T02:35:56.860366,69.54,0.0232,102.93,261.75
M001,2026-03-07T02:40:56.860366,65.05,0.0306,98.79,261.67
M001,2026-03-07T02:45:56.860366,71.74,0.0275,103.26,261.58
M001,2026-03-07T02:50:56.860366,73.6,0.0256,96.95,261.5
M001,2026-03-07T02:55:56.860366,73.12,0.0341,96.68,261.42
M001,2026-03-07T03:00:56.860366,66.19,0.0331,100.63,261.33
M001,2026-03-07T03:05:56.860366,69.7,0.0285,101.41,261.25
M001,2026-03-07T03:10:56.860366,73.81,0.0347,98.17,261.17
M001,2026-03-07T03:15:56.860366,68.3,0.0349,99.83,261.08
M001,2026-03-07T03:20:56.860366,66.26,0.0289,97.41,261.0
M001,2026-03-07T03:25:56.860366,68.48,0.026,95.64,260.92
M001,2026-03-07T03:30:56.860366,67.36,0.0235,102.0,260.83
M001,2026-03-07T03:35:56.860366,68.72,0.038,96.56,260.75
M001,2026-03-07T03:40:56.860366,70.58,0.0225,102.27,260.67
M001,2026-03-07T03:45:56.860366,66.84,0.0223,104.37,260.58
M001,2026-03-07T03:50:56.860366,65.15,0.0302,98.77,260.5
M001,2026-03-07T03:55:56.860366,72.32,0.0305,104.9,260.42
M001,2026-03-07T04:00:56.860366,69.43,0.0386,97.85,260.33
M001,2026-03-07T04:05:56.860366,71.71,0.0224,103.49,260.25
M001,2026-03-07T04:10:56.860366,70.29,0.0376,103.76,260.17
M001,2026-03-07T04:15:56.860366,72.88,0.0225,99.28,260.08
M001,2026-03-07T04:20:56.860366,66.11,0.0372,95.74,260.0
M001,2026-03-07T04:25:56.860366,73.42,0.0261,104.59,259.92
M001,2026-03-07T04:30:56.860366,68.65,0.0323,95.65,259.83
M001,2026-03-07T04:35:56.860366,67.46,0.0295,95.12,259.75
M001,2026-03-07T04:40:56.860366,72.4,0.0302,102.46,259.67
M001,2026-03-07T04:45:56.860366,71.49,0.0346,98.08,259.58
M001,2026-03-07T04:50:56.860366,66.07,0.0259,98.72,259.5
M001,2026-03-07T04:55:56.860366,74.59,0.0221,103.41,259.42
M001,2026-03-07T05:00:56.860366,69.1,0.0318,98.7,259.33
M001,2026-03-07T05:05:56.860366,67.71,0.023,95.73,259.25
M001,2026-03-07T05:10:56.860366,72.56,0.0343,96.41,259.17
M001,2026-03-07T05:15:56.860366,70.12,0.0203,100.79,259.08
M001,2026-03-07T05:20:56.860366,65.79,0.0257,97.68,259.0
M001,2026-03-07T05:25:56.860366,67.64,0.0235,103.56,258.92
M001,2026-03-07T05:30:56.860366,74.37,0.0332,103.22,258.83
M001,2026-03-07T05:35:56.860366,66.15,0.0372,100.74,258.75
M001,2026-03-07T05:40:56.860366,73.42,0.0297,98.71,258.67
M001,2026-03-07T05:45:56.860366,66.51,0.0393,97.98,258.58
M001,2026-03-07T05:50:56.860366,71.46,0.0383,98.96,258.5
M001,2026-03-07T05:55:56.860366,74.61,0.026,98.08,258.42
M001,2026-03-07T06:00:56.860366,67.64,0.038,103.07,258.33
M001,2026-03-07T06:05:56.860366,74.83,0.0368,101.87,258.25
M001,2026-03-07T06:10:56.860366,68.13,0.0373,96.73,258.17
M001,2026-03-07T06:15:56.860366,71.18,0.0203,102.28,258.08
M001,2026-03-07T06:20:56.860366,70.14,0.0394,97.79,258.0
M001,2026-03-07T06:25:56.860366,65.15,0.0338,101.33,257.92
M001,2026-03-07T06:30:56.860366,69.89,0.024,99.68,257.83
M001,2026-03-07T06:35:56.860366,70.33,0.0364,101.33,257.75
M001,2026-03-07T06:40:56.860366,71.21,0.0271,103.54,257.67
M001,2026-03-07T06:45:56.860366,66.67,0.0354,99.22,257.58
M001,2026-03-07T06:50:56.860366,71.86,0.0208,104.48,257.5
M001,2026-03-07T06:55:56.860366,66.49,0.0261,103.38,257.42
M001,2026-03-07T07:00:56.860366,73.65,0.0375,101.89,257.33
M001,2026-03-07T07:05:56.860366,68.44,0.0335,96.58,257.25
M001,2026-03-07T07:10:56.860366,66.02,0.0316,102.14,257.17
M001,2026-03-07T07:15:56.860366,72.67,0.0369,98.21,257.08
M001,2026-03-07T07:20:56.860366,67.37,0.0203,97.88,257.0
M001,2026-03-07T07:25:56.860366,65.15,0.0251,102.19,256.92
M001,2026-03-07T07:30:56.860366,67.74,0.0352,104.16,256.83
M001,2026-03-07T07:35:56.860366,65.75,0.04,102.82,256.75
M001,2026-03-07T07:40:56.860366,72.19,0.0204,100.81,256.67
M001,2026-03-07T07:45:56.860366,73.68,0.0259,97.92,256.58
M001,2026-03-07T07:50:56.860366,71.88,0.0221,99.03,256.5
M001,2026-03-07T07:55:56.860366,73.5,0.0311,101.65,256.42
M001,2026-03-07T08:00:56.860366,69.11,0.0288,100.67,256.33
M001,2026-03-07T08:05:56.860366,68.21,0.0356,96.76,256.25
M001,2026-03-07T08:10:56.860366,67.59,0.0245,99.33,256.17
M001,2026-03-07T08:15:56.860366,73.35,0.0211,100.67,256.08
M001,2026-03-07T08:20:56.860366,67.19,0.0393,96.11,256.0
M001,2026-03-07T08:25:56.860366,73.56,0.0303,102.33,255.92
M001,2026-03-07T08:30:56.860366,74.75,0.0373,101.58,255.83
M001,2026-03-07T08:35:56.860366,66.39,0.0217,95.15,255.75
